interface,kind,generic,class,area,implementation,documentation,example_status,valid_evidence,invalid_evidence,coverage
plot_stabl_path,export,,,visualization,R/visualization.R,man/plot_stabl_path.Rd,running,test-phase7.R,test-phase7.R,utility_contract
save_stabl_results,export,,,export,R/exports.R,man/save_stabl_results.Rd,runnable_donttest,test-phase7.R,test-phase7.R,utility_contract
scatterplot_features,export,,,visualization,R/visualization.R,man/scatterplot_features.Rd,running,test-phase7.R,test-phase7.R,utility_contract
stabl_fit,export,,,selection,R/stabl_fit.R,man/stabl_fit.Rd,running,test-stabl-fit.R,test-input-validation.R,core_contract
stacked_multi_omic,export,,,multiomic,R/multiomic_workflows.R,man/stacked_multi_omic.Rd,running,test-late-fusion-oof.R,test-scientific-defects.R,core_contract
stabl_multiomic_cv,export,,,multiomic,R/multiomic_workflows.R,man/stabl_multiomic_cv.Rd,running,test-multiomic-workflows.R,test-input-validation.R,core_contract
stabl_multiomic_nested_cv,export,,,multiomic,R/nested_cv.R,man/stabl_multiomic_nested_cv.Rd,running,test-nested-cv.R,test-input-validation.R,core_contract
stabl_multiomic_train_validate,export,,,multiomic,R/multiomic_workflows.R,man/stabl_multiomic_train_validate.Rd,running,test-multiomic-workflows.R,test-input-validation.R,core_contract
transform_stabl,export,,,selection,R/stabl_accessors.R,man/transform_stabl.Rd,running,test-accessor-roundtrip.R,test-accessor-roundtrip.R,accessor_contract
tpr_similarity,export,,,metric,R/metrics.R,man/tpr_similarity.Rd,running,test-phase7.R,not_applicable-total-set-function,utility_contract
validate_multiomic_inputs,export,,,multiomic,R/input_validation.R,man/validate_multiomic_inputs.Rd,running,test-input-validation.R,test-input-validation.R,core_contract
validate_sample_alignment,export,,,selection,R/input_validation.R,man/validate_sample_alignment.Rd,running,test-input-validation.R,test-input-validation.R,core_contract
coef.cv.multiview,s3,coef,cv.multiview,multiomic,R/cooperative-cv.multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-multiomic-workflows.R,not_applicable-parity-locked,vendored_parity
coef.multiview,s3,coef,multiview,multiomic,R/cooperative-multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-coef-batch-ongrid.R,not_applicable-parity-locked,vendored_parity
family.cv.multiview,s3,family,cv.multiview,multiomic,R/cooperative-family.multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-multiomic-workflows.R,not_applicable-parity-locked,vendored_parity
family.multiview,s3,family,multiview,multiomic,R/cooperative-family.multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-multiomic-workflows.R,not_applicable-parity-locked,vendored_parity
plot.multiview,s3,plot,multiview,multiomic,R/cooperative-multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-multiomic-workflows.R,not_applicable-parity-locked,vendored_parity
predict.cv.multiview,s3,predict,cv.multiview,multiomic,R/cooperative-predict.cv.multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-multiomic-workflows.R,not_applicable-parity-locked,vendored_parity
predict.multiview,s3,predict,multiview,multiomic,R/cooperative-predict.multiview.R,vignettes/stablr-cooperative.Rmd,workflow_integration,test-multiomic-workflows.R,not_applicable-parity-locked,vendored_parity
get_feature_names_out.stabl_fit,s3,get_feature_names_out,stabl_fit,selection,R/stabl_accessors.R,man/get_feature_names_out.Rd,running,test-accessor-roundtrip.R,test-validation-edges.R,accessor_contract
get_cooperative_diagnostics.stabl_multiomic_cv,s3,get_cooperative_diagnostics,stabl_multiomic_cv,multiomic,R/stabl_accessors.R,man/get_cooperative_diagnostics.Rd,runnable_donttest,test-multiomic-workflows.R,test-multiomic-workflows.R,accessor_contract
get_cooperative_diagnostics.stabl_multiomic_fit,s3,get_cooperative_diagnostics,stabl_multiomic_fit,multiomic,R/stabl_accessors.R,man/get_cooperative_diagnostics.Rd,runnable_donttest,test-multiomic-workflows.R,test-multiomic-workflows.R,accessor_contract
get_cooperative_features.stabl_multiomic_cv,s3,get_cooperative_features,stabl_multiomic_cv,multiomic,R/stabl_accessors.R,man/get_cooperative_features.Rd,runnable_donttest,test-multiomic-workflows.R,test-multiomic-workflows.R,accessor_contract
get_cooperative_features.stabl_multiomic_fit,s3,get_cooperative_features,stabl_multiomic_fit,multiomic,R/stabl_accessors.R,man/get_cooperative_features.Rd,runnable_donttest,test-multiomic-workflows.R,test-multiomic-workflows.R,accessor_contract
get_importances.stabl_fit,s3,get_importances,stabl_fit,selection,R/stabl_accessors.R,man/get_importances.Rd,running,test-stabl-fit.R,test-stabl-fit.R,accessor_contract
get_stabl_scores.stabl_fit,s3,get_stabl_scores,stabl_fit,selection,R/stabl_accessors.R,man/get_stabl_scores.Rd,running,test-accessor-roundtrip.R,test-accessor-roundtrip.R,accessor_contract
get_support.stabl_fit,s3,get_support,stabl_fit,selection,R/stabl_accessors.R,man/get_support.Rd,running,test-stabl-fit.R,test-stabl-fit.R,accessor_contract
print.stabl_fit,s3,print,stabl_fit,selection,R/stabl_accessors.R,man/stabl_fit.Rd,running_workflow,test-stabl-fit.R,not_applicable-print-method,accessor_contract
print.stabl_multiomic_cv,s3,print,stabl_multiomic_cv,multiomic,R/stabl_accessors.R,man/stabl_multiomic_cv.Rd,running_workflow,test-multiomic-workflows.R,not_applicable-print-method,accessor_contract
print.stabl_multiomic_fit,s3,print,stabl_multiomic_fit,multiomic,R/stabl_accessors.R,man/stabl_multiomic_train_validate.Rd,running_workflow,test-multiomic-workflows.R,not_applicable-print-method,accessor_contract
print.stabl_multiomic_nested_cv,s3,print,stabl_multiomic_nested_cv,multiomic,R/nested_cv.R,man/stabl_multiomic_nested_cv.Rd,running_workflow,test-nested-cv.R,not_applicable-print-method,accessor_contract
